,Amount_Requested,Interest_Rate,Loan_Length,Debt_To_Income_Ratio,Monthly_Income,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months,Employment_Length,FICO_avg,Loan_Purpose,State,Home_Ownership
0,20000.0,8.9,36.0,14.9,6541.67,14.0,14272.0,2.0,1.0,737.0,debt_consolidation,SC,MORTGAGE
1,19200.0,12.12,36.0,28.36,4583.33,12.0,11140.0,1.0,2.0,717.0,debt_consolidation,TX,MORTGAGE
2,35000.0,21.98,60.0,23.81,11500.0,14.0,21977.0,1.0,2.0,692.0,debt_consolidation,CA,MORTGAGE
3,10000.0,9.99,36.0,14.3,3833.33,10.0,9346.0,0.0,5.0,697.0,debt_consolidation,KS,MORTGAGE
4,12000.0,11.71,36.0,18.78,3195.0,11.0,14469.0,0.0,9.0,697.0,credit_card,NJ,RENT
5,6000.0,15.31,36.0,20.05,4891.67,17.0,10391.0,2.0,3.0,672.0,other,CT,OWN
6,10000.0,7.9,36.0,26.09,2916.67,10.0,15957.0,0.0,10.0,722.0,debt_consolidation,MA,RENT
7,33500.0,17.14,60.0,14.7,13863.42,12.0,27874.0,0.0,10.0,707.0,credit_card,LA,MORTGAGE
8,14675.0,14.33,36.0,26.92,3150.0,9.0,7246.0,1.0,8.0,687.0,credit_card,CA,RENT
9,7000.0,6.91,36.0,7.1,5000.0,8.0,7612.0,0.0,3.0,717.0,credit_card,CA,RENT
10,2000.0,19.72,36.0,10.29,3575.0,10.0,12036.0,0.0,6.0,672.0,moving,FL,RENT
11,10625.0,14.27,36.0,12.54,4250.0,14.0,10767.0,0.0,1.0,667.0,debt_consolidation,CA,MORTGAGE
12,28000.0,21.67,60.0,13.07,14166.67,12.0,10311.0,0.0,1.0,672.0,debt_consolidation,CT,MORTGAGE
13,35000.0,8.9,36.0,20.46,9166.67,19.0,21536.0,0.0,1.0,737.0,debt_consolidation,CT,RENT
14,9600.0,7.62,36.0,3.45,11250.0,13.0,4606.0,0.0,1.0,727.0,debt_consolidation,DC,RENT
15,25000.0,15.65,60.0,21.99,5416.67,6.0,13929.0,0.0,9.0,732.0,debt_consolidation,CA,RENT
16,10000.0,12.12,36.0,17.72,9000.0,18.0,20317.0,0.0,7.0,697.0,debt_consolidation,CA,RENT
17,14000.0,10.37,60.0,11.95,4333.33,6.0,7419.0,0.0,9.0,742.0,debt_consolidation,OH,RENT
18,10000.0,9.76,36.0,7.13,2733.33,7.0,6112.0,2.0,3.0,732.0,credit_card,FL,RENT
19,5200.0,9.99,60.0,10.29,3750.0,10.0,16094.0,0.0,1.0,762.0,debt_consolidation,AL,MORTGAGE
20,22000.0,21.98,36.0,11.19,6666.67,9.0,23124.0,0.0,10.0,667.0,debt_consolidation,TX,MORTGAGE
21,30000.0,19.05,60.0,21.25,6250.0,12.0,34927.0,0.0,6.0,697.0,credit_card,FL,MORTGAGE
